datetime,open,high,low,close,volume
2023-06-20 23:15:00,1719.46,1721.65,1718.5,1721.64,410.57283
2023-06-20 23:30:00,1721.64,1724.8,1721.64,1723.82,307.6715
2023-06-20 23:45:00,1723.82,1736.07,1723.82,1732.64,1302.48491
2023-06-21 00:00:00,1732.64,1733.75,1728.55,1732.5,752.23596
2023-06-21 00:15:00,1732.5,1744.06,1731.01,1741.14,1957.60234
2023-06-21 00:30:00,1741.14,1745.0,1738.51,1743.13,1162.47184
2023-06-21 00:45:00,1743.13,1747.89,1741.01,1745.0,1059.00226
2023-06-21 01:00:00,1745.0,1756.67,1745.0,1750.26,2605.75159
2023-06-21 01:15:00,1750.26,1754.48,1746.22,1749.23,1126.87846
2023-06-21 01:30:00,1749.23,1754.29,1746.75,1753.69,1244.32871
2023-06-21 01:45:00,1753.69,1778.61,1753.44,1769.14,4264.59738
2023-06-21 02:00:00,1769.14,1787.96,1769.14,1785.4,2039.08304
2023-06-21 02:15:00,1785.4,1792.5,1779.51,1784.2,1658.83545
2023-06-21 02:30:00,1784.2,1786.96,1778.52,1780.96,756.61501
2023-06-21 02:45:00,1780.96,1784.91,1779.02,1782.89,821.34066
2023-06-21 03:00:00,1782.89,1784.9,1769.74,1775.1,1575.24296
2023-06-21 03:15:00,1775.1,1780.56,1772.65,1778.4,599.58024
2023-06-21 03:30:00,1778.4,1781.19,1776.5,1780.56,538.38663
2023-06-21 03:45:00,1780.56,1782.37,1777.61,1782.11,1665.97325
2023-06-21 04:00:00,1782.11,1787.85,1777.36,1778.31,2088.07247
2023-06-21 04:15:00,1778.31,1783.04,1778.31,1781.55,927.35231
2023-06-21 04:30:00,1781.55,1787.8,1779.65,1783.0,1042.18424
2023-06-21 04:45:00,1783.0,1790.12,1782.77,1784.62,936.78559
2023-06-21 05:00:00,1784.62,1786.99,1780.39,1784.39,788.13436
2023-06-21 05:15:00,1784.39,1787.0,1781.14,1782.51,869.57259
2023-06-21 05:30:00,1782.51,1785.83,1780.5,1783.0,473.20604
2023-06-21 05:45:00,1783.0,1783.01,1774.05,1776.94,460.94821
2023-06-21 06:00:00,1776.94,1779.15,1776.72,1778.59,531.84562
2023-06-21 06:15:00,1778.59,1783.5,1778.59,1783.44,459.97277
2023-06-21 06:30:00,1783.44,1785.4,1782.02,1784.88,467.60739
2023-06-21 06:45:00,1784.88,1787.27,1784.19,1785.23,530.43688
2023-06-21 07:00:00,1785.23,1789.43,1785.2,1787.92,500.717
2023-06-21 07:15:00,1787.92,1791.5,1784.98,1791.5,711.80541
2023-06-21 07:30:00,1791.5,1792.4,1786.5,1787.58,723.13568
2023-06-21 07:45:00,1787.58,1796.36,1787.39,1792.38,1051.26119
2023-06-21 08:00:00,1792.38,1792.83,1787.51,1789.49,856.70978
2023-06-21 08:15:00,1789.49,1803.96,1787.81,1791.8,1811.95107
2023-06-21 08:30:00,1791.8,1795.98,1790.47,1795.84,698.42495
2023-06-21 08:45:00,1795.84,1807.26,1794.93,1799.6,1582.9595
2023-06-21 09:00:00,1799.6,1828.0,1799.51,1817.78,4275.46594
2023-06-21 09:15:00,1817.78,1818.82,1806.83,1812.5,1093.41079
2023-06-21 09:30:00,1812.5,1813.25,1806.83,1807.56,788.51796
2023-06-21 09:45:00,1807.56,1809.9,1806.83,1809.07,435.61195
2023-06-21 10:00:00,1809.07,1811.02,1807.34,1809.05,1546.4605
2023-06-21 10:15:00,1809.05,1809.48,1806.2,1808.65,299.60292
2023-06-21 10:30:00,1808.65,1810.93,1806.26,1808.76,706.43675
2023-06-21 10:45:00,1808.76,1812.47,1808.01,1811.33,408.31144
2023-06-21 11:00:00,1811.33,1811.53,1807.18,1808.5,478.60703
2023-06-21 11:15:00,1808.5,1809.5,1807.54,1808.11,307.32958
2023-06-21 11:30:00,1808.11,1812.49,1808.11,1810.61,251.01583
2023-06-21 11:45:00,1810.61,1811.5,1809.07,1811.5,192.93315
2023-06-21 12:00:00,1811.5,1813.12,1808.24,1808.29,467.62238
2023-06-21 12:15:00,1808.29,1815.96,1808.29,1814.63,1134.19071
2023-06-21 12:30:00,1814.63,1814.98,1812.0,1812.4,353.56677
2023-06-21 12:45:00,1812.4,1818.94,1812.4,1816.66,475.0353
2023-06-21 13:00:00,1816.66,1817.11,1815.14,1816.24,343.3944
2023-06-21 13:15:00,1816.24,1818.78,1814.53,1815.63,599.59155
2023-06-21 13:30:00,1815.63,1815.77,1813.54,1814.39,349.71466
2023-06-21 13:45:00,1814.39,1822.5,1814.27,1821.63,773.05951
2023-06-21 14:00:00,1821.63,1823.27,1815.5,1815.5,633.06751
